Name;Alternativname;Höhe;SAC-Sektion;Schlafplätze;Schutzraum;Ein­wei­hung;Kanton;Kommentar;Typ;Extrainfos
Linardhütte;Chamanna dal Linard;2327;Engiadina Bassa;38;20;1902;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46.77946|EW=10.08293|type=mountain|sortkey=NS|elevation=2327|region=CH-GR|text=ICON2|name=Chamonna Linard}}&nbsp;&#124;&nbsp;"
Lischanahütte;Chamonna Lischana;2500;Engiadina Bassa;42;12;1926;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46/45/56.1|EW=10/20/4.12|type=mountain|sortkey=NS|elevation=2500|region=CH-GR|text=ICON2|name=Lischanahütte}}&nbsp;&#124;&nbsp;"
Lohnerhütte;;2171;Wildstrubel;40;20;1972;Bern;;SAC-Hütte;"{{Coordinate|NS=46.47453|EW=7.59979|type=mountain|sortkey=NS|elevation=2171|region=CH-BE|text=ICON2|name=Lohnerhütte}}&nbsp;&#124;&nbsp;"
Maighelshütte;Camona da Maighels;2310;Piz Terri;83;14;1943;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46.625319|EW=8.690195|type=mountain|sortkey=NS|elevation=2310|region=CH-GR|text=ICON2|name=Maighelshütte}}&nbsp;&#124;&nbsp;"
Martinsmadhütte;;2002;Randen;40;4;1907;Glarus;;SAC-Hütte;"{{Coordinate|NS=46.89256|EW=9.18826|type=mountain|sortkey=NS|elevation=2002|region=CH-GL|text=ICON2|name=Martinsmadhütte}}&nbsp;&#124;&nbsp;"
Medelserhütte;;2524;Uto;55;10;1934;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46/38/26|EW=8/54/49.65|type=mountain|sortkey=NS|elevation=2310|region=CH-GR|text=ICON2|name=Medelserhütte}}&nbsp;&#124;&nbsp;"
Mischabeljochbiwak;;3855;Genf;24;24;1966;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.07425|EW=7.86580|type=mountain|sortkey=NS|elevation=3847|region=CH-VS|text=ICON2|name=Mischabeljochbiwak}}&nbsp;&#124;&nbsp;"
Mittelaletschbiwak;;3013;Diablerets;24;24;1977;Wallis;Durch Lawine im Jahre 2019 komplett zerstört;SAC-Hütte;"{{Coordinate|NS=46.464898|EW=8.023815|type=mountain|sortkey=NS|elevation=3013|region=CH-VS|text=ICON2|name=Mittelaletschbiwak}}&nbsp;&#124;&nbsp;"
Moiryhütte;Cabane de Moiry;2825;Montreux;104;23;1924;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.09063|EW=7.59560|type=mountain|sortkey=NS|elevation=2825|region=CH-VS|text=ICON2|name=Cabane de Moiry}}&nbsp;&#124;&nbsp;"
Mont Fort Hütte;Cabane du Mont Fort;2457;Jaman;58;6;1925;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.08359|EW=7.28101|type=mountain|sortkey=NS|elevation=2457|region=CH-VS|text=ICON2|name=Cabane du Mont Fort}}&nbsp;&#124;&nbsp;"
Monte Leone Hütte;Cabane Monte Leone;2848;Sommartel;32;16;1990;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.26079|EW=8.08026|type=mountain|sortkey=NS|elevation=2848|region=CH-VS|text=ICON2|name=Monte-Leone-Hütte}}&nbsp;&#124;&nbsp;"
Monte-Rosa-Hütte;;2883;Monte Rosa;120;12;2009;Wallis;;SAC-Hütte;"{{Coordinate|NS=45.95693|EW=7.81455|type=mountain|sortkey=NS|elevation=2883|region=CH-VS|text=ICON2|name=Monte-Rosa-Hütte}}&nbsp;&#124;&nbsp;"
Motterasciohütte;Capanna Motterascio;2172;Tessin;70;25;1967;Tessin;;SAC-Hütte;"{{Coordinate|NS=46.59337|EW=9.00545|type=mountain|sortkey=NS|elevation=2172|region=CH-TI|text=ICON2|name=Motterasciohütte}}&nbsp;&#124;&nbsp;"
Mountethütte;Cabane du Mountet;2886;Diablerets;115;30;1887;Wallis;;SAC-Hütte;"{{Coordinate|NS= 46/3/36|EW=7/39/13 |type=mountain|sortkey=NS|elevation=2886|region=CH-VS|text=ICON2|name= Cabane du Mountet}}&nbsp;&#124;&nbsp;"
Mutthornhütte;;2901;Weissenstein;100;37;1896;Bern;Wegen akuter Bergsturzgefahr geschlossen;SAC-Hütte;"{{Coordinate|NS=46.486234|EW=7.83013|type=mountain|sortkey=NS|elevation=201|region=CH-BE|text=ICON2|name=Mutthornhütte}}&nbsp;&#124;&nbsp;"
Muttseehütte;;2501;Winterthur;76;8;1887;Glarus;;SAC-Hütte;"{{Coordinate|NS=46.85746|EW=9.01877|type=mountain|sortkey=NS|elevation=2501|region=CH-GL|text=ICON2|name=Muttseehütte}}&nbsp;&#124;&nbsp;"
Neuvehütte;Cabane de l’A Neuve;2735;Diablerets;28;20;1927;Wallis;;SAC-Hütte;"{{Coordinate|NS=45.94879|EW=7.06689|type=mountain|sortkey=NS|elevation=2735|region=CH-VS|text=ICON2|name=Cabane de l’A Neuve}}&nbsp;&#124;&nbsp;"
Oberaarjochhütte;;3258;Biel;40;15;1904;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.52603|EW=8.17310|type=mountain|sortkey=NS|elevation=3258|region=CH-VS|text=ICON2|name=Oberaarjochhütte}}&nbsp;&#124;&nbsp;"
Oberaletschhütte;;2640;Chasseral;58;10;1970;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.42493|EW=7.97383|type=mountain|sortkey=NS|elevation=2640|region=CH-VS|text=ICON2|name=Oberaletschhütte}}&nbsp;&#124;&nbsp;"
Ornyhütte;Cabane d’Orny;2826;Diablerets;86;30;1975;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.00194|EW=7.06289|type=mountain|sortkey=NS|elevation=2381|region=CH-VS|text=ICON2|name=Ornyhütte}}&nbsp;&#124;&nbsp;"
Pianseccohütte;Capanna Piansecco;1988;Bellinzona e Valli;46;12;1995;Tessin;;SAC-Hütte;"{{Coordinate|NS=46.49444|EW=8.47140|type=mountain|sortkey=NS|elevation=1988|region=CH-TI|text=ICON2|name=Pianseccohütte}}&nbsp;&#124;&nbsp;"
Planurahütte;;2947;Tödi;41;8;1929;Glarus;;SAC-Hütte;"{{Coordinate|NS=46.82001|EW=8.88035|type=mountain|sortkey=NS|elevation=2947|region=CH-GL|text=ICON2|name=Planurahütte}}&nbsp;&#124;&nbsp;"
Puntegliashütte;Camona da Punteglias;2311;Winterthur;35;18;1908;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46.77721|EW=8.95607|type=mountain|sortkey=NS|elevation=2311|region=CH-GR|text=ICON2|name=Camona da Punteglias}}&nbsp;&#124;&nbsp;"
Ramberthütte;Cabane Rambert;2580;Diablerets;38;13;1952;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.23022|EW=7.13425|type=mountain|sortkey=NS|elevation=2580|region=CH-VS|text=ICON2|name= Cabane Rambert}}&nbsp;&#124;&nbsp;"
Ramozhütte;;2293;Arosa;25;25;1945;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46/43/51|EW=9/38/37|type=mountain|sortkey=NS|elevation=2293|region=CH-GR|text=ICON2|name=Ramozhütte}}&nbsp;&#124;&nbsp;"
Ringelspitzhütte;;2000;Rätia;38;12;1961;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46.86576|EW=9.38072|type=mountain|sortkey=NS|elevation=2000|region=CH-GR|text=ICON2|name=Ringelspitzhütte}}&nbsp;&#124;&nbsp;"
Rosenlauibiwak;;2330;Oberaargau;11;11;1973;Bern;;SAC-Hütte;"{{Coordinate|NS=46.65915|EW=8.16748|type=mountain|sortkey=NS|elevation=2330|region=CH-BE|text=ICON2|name=Rosenlauibiwak}}&nbsp;&#124;&nbsp;"
Rothornhütte;;3198;Oberaargau;68;12;1948;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.04867|EW=7.69735|type=mountain|sortkey=NS|elevation=3210|region=CH-VS|text=ICON2|name=Rothornhütte}}&nbsp;&#124;&nbsp;"
Rotondohütte;;2570;Lägern;85;20;1909;Uri;;SAC-Hütte;"{{Coordinate|NS=46.54496|EW=8.48438|type=mountain|sortkey=NS|elevation=2571|region=CH-UR|text=ICON2|name=Rotondohütte}}&nbsp;&#124;&nbsp;"
Rottalhütte;;2755;Interlaken;34;34;1907;Bern;;SAC-Hütte;"{{Coordinate|NS=46.52611|EW=7.94470|type=mountain|sortkey=NS|elevation=2755|region=CH-BE|text=ICON2|name=Rottalhütte}}&nbsp;&#124;&nbsp;"
Rugghubelhütte;;2294;Titlis;95;30;1984;Obwalden;;SAC-Hütte;"{{Coordinate|NS=46.84620|EW=8.46271|type=mountain|sortkey=NS|elevation=2290|region=CH-OW|text=ICON2|name=Rugghubelhütte}}&nbsp;&#124;&nbsp;"
Salbithütte;;2105;Lindenberg;58;10;1931;Uri;;SAC-Hütte;"{{Coordinate|NS=46.676473|EW=8.551738|type=mountain|sortkey=NS|elevation=2105|region=CH-UR|text=ICON2|name=Salbithütte}}&nbsp;&#124;&nbsp;"
Salbitschijenbiwak;;2400;Mythen;10;10;1968;Uri;;SAC-Hütte;"{{Coordinate|NS=46.67614|EW=8.52370|type=mountain|sortkey=NS|elevation=2400|region=CH-UR|text=ICON2|name=Salbitschijenbiwak}}&nbsp;&#124;&nbsp;"
Saleinazhütte;Cabane de Saleinaz;2691;Neuchâtel;48;22;1996;Wallis;;SAC-Hütte;"{{Coordinate|NS=45.97650|EW=7.07029|type=mountain|sortkey=NS|elevation=2691|region=CH-VS|text=ICON2|name=Saleinazhütte}}&nbsp;&#124;&nbsp;"
Saoseohütte;Rifugio Saoseo;1985;Bernina;80;12;1935;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46.39701|EW=10.11871|type=mountain|sortkey=NS|elevation=1986|region=CH-GR|text=ICON2|name=Rifugio Saoseo}}&nbsp;&#124;&nbsp;"
Sardonahütte;;2158;Zindelspitz;43;18;1898;St. Gallen;;SAC-Hütte;"{{Coordinate|NS=46/54/55.7|EW=9/16/31.6|type=mountain|sortkey=NS|elevation=2158|region=CH-SG|text=ICON2|name=Sardonahuette}}&nbsp;&#124;&nbsp;"
Sasc-Furä-Hütte;Capanna Sasc Furä;1904;Bregaglia;43;4;1960;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46.31531|EW=9.58244|type=mountain|sortkey=NS|elevation=1904|region=CH-GR|text=ICON2|name=Sasc-Furä-Hütte}}&nbsp;&#124;&nbsp;"
Schalijochbiwak;;3786;Basel;8;8;1963;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.09333|EW=7.70946|type=mountain|sortkey=NS|elevation=3780|region=CH-VS|text=ICON2|name=Schalijoch Biwak}}&nbsp;&#124;&nbsp;"
Schönbielhütte;;2694;Monte Rosa;70;12;1909;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.00200|EW=7.62903|type=mountain|sortkey=NS|elevation=2694|region=CH-VS|text=ICON2|name=Schönbielhütte}}&nbsp;&#124;&nbsp;"
Schreckhornhütte;;2530;Basel;65;20;1981;Bern;;SAC-Hütte;"{{Coordinate|NS=46.58187|EW=8.09875|type=mountain|sortkey=NS|elevation=2530|region=CH-BE|text=ICON2|name=Schreckhornhütte}}&nbsp;&#124;&nbsp;"
Sciorahütte;Capanna di Sciora;2118;Hoher Rohn;42;10;1947;Graubünden;Wegen Bergsturz vom 23. August 2017 geschlossen;SAC-Hütte;"{{Coordinate|NS=46.31247|EW=9.61114|type=mountain|sortkey=NS|elevation=2118|region=CH-GR|text=ICON2|name=Capanna di Sciora}}&nbsp;&#124;&nbsp;"
Seetalhütte;;2065;Prättigau;14;14;1941;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46.873884|EW=10.009359|type=mountain|sortkey=NS|elevation=2065|region=CH-GR|text=ICON2|name=Seetalhütte}}&nbsp;&#124;&nbsp;"
Sewenhütte;;2150;Pfannenstiel;60;12;1974;Uri;;SAC-Hütte;"{{Coordinate|NS=46.74664|EW=8.52102|type=mountain|sortkey=NS|elevation=2148|region=CH-UR|text=ICON2|name=Sewenhütte}}&nbsp;&#124;&nbsp;"
Silberhornhütte;;2663;Lauterbrunnen;12;12;1935;Bern;;SAC-Hütte;"{{Coordinate|NS=46.54907|EW=7.93358|type=mountain|sortkey=NS|elevation=2663|region=CH-BE|text=ICON2|name=Silberhornhütte}}&nbsp;&#124;&nbsp;"
Silvrettahütte;;2341;St. Gallen;69;20;1890;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46.854536|EW=10.041483|type=mountain|sortkey=NS|elevation=2341|region=CH-GR|text=ICON2|name=Silvrettahütte}}&nbsp;&#124;&nbsp;"
Solvayhütte;Solvay-Biwak;4003;SAC (gehört keiner Sektion an);10;10;1917;Wallis;Darf nur im Notfall benutzt werden!;SAC-Hütte;"{{Coordinate|NS=45.97867|EW=7.66300|type=mountain|sortkey=NS|elevation=4003|region=CH-VS|text=ICON2|name=Solvaybiwak}}&nbsp;&#124;&nbsp;"
Spannorthütte;;1956;Uto;40;9;1961;Uri;;SAC-Hütte;"{{Coordinate|NS=46.79980|EW=8.50984|type=mountain|sortkey=NS|elevation=1956|region=CH-UR|text=ICON2|name=Spannorthütte}}&nbsp;&#124;&nbsp;"
Spitzmeilenhütte;;2087;Piz Sol;50;8;2008;St. Gallen;;SAC-Hütte;"{{Coordinate|NS=47.034252|EW=9.250614|type=mountain|sortkey=NS|elevation=2087|region=CH-SG|text=ICON2|name=Spitzmeilenhütte}}&nbsp;&#124;&nbsp;"
Stockhornbiwak;;2598;Blümlisalp;18;18;1974;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.37743|EW=7.88103|type=mountain|sortkey=NS|elevation=2598|region=CH-VS|text=ICON2|name=Stockhornbiwak}}&nbsp;&#124;&nbsp;"
Susanfehütte;Cabane de Susanfe;2102;Yverdon;71;30;1960;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.13944|EW=6.89813|type=mountain|sortkey=NS|elevation=2102|region=CH-VS|text=ICON2|name=Susanfehütte}}&nbsp;&#124;&nbsp;"
Sustlihütte;;2257;Rossberg;69;13;1992;Uri;;SAC-Hütte;"{{Coordinate|NS=46.75169|EW=8.47076|type=mountain|sortkey=NS|elevation=2257|region=CH-UR|text=ICON2|name=Sustlihütte}}&nbsp;&#124;&nbsp;"
Täschhütte;;2701;Uto;80;12;1945;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.05156|EW=7.83001|type=mountain|sortkey=NS|elevation=2701|region=CH-VS|text=ICON2|name=Täschhütte}}&nbsp;&#124;&nbsp;"
Terrihütte;;2170;Piz Terri;110;22;1925;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46/38/04|EW=9/00/18.50|type=mountain|sortkey=NS|elevation=2170|region=CH-GR|text=ICON2|name=Terrihütte}}&nbsp;&#124;&nbsp;"
Tierberglihütte;;2795;Baselland;70;10;1942;Bern;;SAC-Hütte;"{{Coordinate|NS=46/42/7.4|EW=8/24/51.2|type=mountain|sortkey=NS|elevation=2795|region=CH-BE|text=ICON2|name=Tierberglihütte}}&nbsp;&#124;&nbsp;"
Topalihütte;;2674;Monte Rosa;44;6;2003;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.15690|EW=7.76199|type=mountain|sortkey=NS|elevation=2674|region=CH-VS|text=ICON2|name=Topalihütte}}&nbsp;&#124;&nbsp;"
Tracuithütte;Cabane de Tracuit;3256;Chaussy;116;36;2013;Wallis;;SAC-Hütte;"{{Coordinate|NS=46/7/49|EW=7/40/46 |type=mountain|sortkey=NS|elevation=3256|region=CH-VS|text=ICON2|name=Cabane de Tracuit}}&nbsp;&#124;&nbsp;"
Treschhütte;;1475;Am Albis;35;35;1947;Uri;;SAC-Hütte;"{{Coordinate|NS=46/43/7|EW=8/38/58|type=mountain|sortkey=NS|elevation=1475|region=CH-UR|text=ICON2|name=Treschhütte}}&nbsp;&#124;&nbsp;"
Trienthütte;Cabane du Trient;3170;Diablerets;128;34;1934;Wallis;;SAC-Hütte;"{{Coordinate|NS=45/59/58|EW=7/02/38|type=mountain|sortkey=NS|elevation=3170|region=CH-VS|text=ICON2|name=Cabane du Trient}}&nbsp;&#124;&nbsp;"
Trifthütte;;2520;Bern;42;16;2007;Bern;Wegen Lawinenniedergang geschlossen;SAC-Hütte;"{{Coordinate|NS=46.67790|EW=8.37660|type=mountain|sortkey=NS|elevation=2520|region=CH-BE|text=ICON2|name=Trifthütte}}&nbsp;&#124;&nbsp;"
Tschiervahütte;Chamanna da Tschierva;2583;Bernina;100;8;1951;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46.40388|EW=9.880131|type=mountain|sortkey=NS|elevation=2573|region=CH-GR|text=ICON2|name=Tschiervahütte}}&nbsp;&#124;&nbsp;"
Tuoihütte;Chamonna Tuoi;2250;Bassa;77;14;1914;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46.83072|EW=10.13246|type=mountain|sortkey=NS|elevation=2250|region=CH-GR|text=ICON2|name=Chamonna Tuoi}}&nbsp;&#124;&nbsp;"
Turtmannhütte;;2519;Prévôtoise;72;14;1928;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.16008|EW=7.69951|type=mountain|sortkey=NS|elevation=2519|region=CH-VS|text=ICON2|name=Turtmannhütte}}&nbsp;&#124;&nbsp;"
Valsoreyhütte;Cabane de Valsorey;3037;La Chaux-de-Fonds;60;30;?;Wallis;;SAC-Hütte;"{{Coordinate|NS=45/55/49.6|EW=7/16/18.5|type=mountain|sortkey=NS|elevation=3030|region=CH-VS|text=ICON2|name=Valsoreyhütte}}&nbsp;&#124;&nbsp;"
Vélanhütte;Cabane du Vélan;2642;Genf;62;12;1993;Wallis;;SAC-Hütte;"{{Coordinate|NS=45/55/1.1|EW=7/14/43.65|type=mountain|sortkey=NS|elevation=2642|region=CH-VS|text=ICON2|name=Cabane du Vélan}}&nbsp;&#124;&nbsp;"
Vignetteshütte;Cabane des Vignettes;3160;Monte Rosa;125;15;2008;Wallis;;SAC-Hütte;"{{Coordinate|NS=45.98978|EW=7.47571|type=mountain|sortkey=NS|elevation=2520|region=CH-VS|text=ICON2|name=Vignetteshütte}}&nbsp;&#124;&nbsp;"
Violetteshütte;Cabane des Violettes;2209;Montana-Vermala;24;0;1994;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.34245|EW=7.50000|type=mountain|sortkey=NS|elevation=2204|region=CH-VS|text=ICON2|name=Violetteshütte}}&nbsp;&#124;&nbsp;"
Voralphütte;;2126;Uto;40;18;1891;Uri;;SAC-Hütte;"{{Coordinate|NS=46.69054|EW=8.48771|type=mountain|sortkey=NS|elevation=2126|region=CH-UR|text=ICON2|name=Voralphütte}}&nbsp;&#124;&nbsp;"
Weisshornhütte;;2932;Basel;30;18;1982;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.08596|EW=7.74352|type=mountain|sortkey=NS|elevation=2932|region=CH-VS|text=ICON2|name=Weisshornhütte}}&nbsp;&#124;&nbsp;"
Weissmieshütte;;2726;Olten;125;0;1894;Wallis;;SAC-Hütte;"{{Coordinate|NS=46.143863|EW=7.977901|type=mountain|sortkey=NS|elevation=2726|region=CH-VS|text=ICON2|name=Weissmieshütte}}&nbsp;&#124;&nbsp;"
Wildhornhütte;;2303;Moléson;96;10;1929;Bern;;SAC-Hütte;"{{Coordinate|NS=46/22/45|EW=7/23/17|type=mountain|sortkey=NS|elevation=2303|region=CH-BE|text=ICON2|name=Wildhornhütte}}&nbsp;&#124;&nbsp;"
Wildstrubelhütte;;2793;Wildhorn Kaiseregg;68;8;1927;Bern;;SAC-Hütte;"{{Coordinate|NS=46.38252|EW=7.46808|type=mountain|sortkey=NS|elevation=2789|region=CH-BE|text=ICON2|name=Wildstrubelhütte}}&nbsp;&#124;&nbsp;"
Windegghütte;;1886;Bern;47;12;1987;Bern;;SAC-Hütte;"{{Coordinate|NS=46/41/41.5|EW=8/20/52.5|type=mountain|sortkey=NS|elevation=1887|region=CH-BE|text=ICON2|name=Windegghütte}}&nbsp;&#124;&nbsp;"
Zapporthütte;;2276;Rätia ;24;24;1872;Graubünden;;SAC-Hütte;"{{Coordinate|NS=46.500049|EW=9.093934|type=mountain|sortkey=NS|elevation=2276|region=CH-GR|text=ICON2|name=Zapporthütte}}&nbsp;&#124;&nbsp;"
Badushütte;;2503;Manegg;19;0;;;;Sektionshütte;
Baita del Luca;;1064;Ticino;16;16;;;;Sektionshütte;
Bivouac de l'Envers des Dorées;;2983;Dent-de-Lys;18;0;;;;Sektionshütte;
Brisenhaus;;1753;Pilatus;46;0;;;;Sektionshütte;
Brochhütte;;1499;Oberhasli;43;0;;;;Sektionshütte;
Cabane Barraud;;1995;Diablerets Lausanne;32;32;;;;Sektionshütte;
Cabane de Bounavaux;;1636;Gruyère;40;0;;;;Sektionshütte;
Cabane de la Tourche;;2198;Monte Rosa St-Maurice;60;0;;;;Sektionshütte;
Cabane de l'Oberegg;;1818;Gruyère;4;4;;;;Sektionshütte;
Cabane des Marindes;;1868;Gruyère;50;0;;;;Sektionshütte;
Cabane Rochefort;;1388;La Dôle;0;0;;;;Sektionshütte;
Capanna Monte Bar;;1602;Ticino;44;8;;;;Sektionshütte;
Chalet de Savolaire;;1655;Monte Rosa Monthey;31;31;;;;Sektionshütte;
Fromahütte;;1800;Wildhorn;20;0;;;;Sektionshütte;
Grubenberghütte;;1840;Oldenhorn;23;2;;;;Sektionshütte;
Heftihütte;;1904;Emmental;12;12;;;;Sektionshütte;
Hohganthütte;;1805;Emmental;24;24;;;;Sektionshütte;
Jurahaus;;1320;Biel;35;35;;;;Sektionshütte;
Lobhornhütte;;1955;Lauterbrunnen;24;0;;;;Sektionshütte;
Refuge des Dents du Midi;;2884;Argentine;20;20;;;;Sektionshütte;
Refuge des Petoudes;;2169;Diablerets Lausanne;9;0;;;;Sektionshütte;
Refuge-Igloo des Pantalons Blancs;;3280;Monte Rosa Sion;15;15;;;;Sektionshütte;
Schesaplanahütte;;1908;Pfannenstiel;65;8;;;;Sektionshütte;
Schräawislihütte;;1732;Piz Sol;8;8;;;;Sektionshütte;
Ski- & Ferienhaus Obergestelen;;1800;Blüemlisalp;33;0;;;;Sektionshütte;
Sunnehüsi;;1125;Blüemlisalp;18;18;;;;Sektionshütte;
Tanzbodenhütte;;1441;Pfannenstiel;17;17;;;;Sektionshütte;
Vermigelhütte;;2042;Zofingen;34;24;;;;Sektionshütte;
Winteregghütte;;1890;Biel;36;36;;;;Sektionshütte;
Zwinglipasshütte;;1999;Toggenburg;40;8;;;;Sektionshütte;
